sentence,gold_mwe
"muhasebeci , yerden temennalar , gevrek kahkahalar arasında bir vesile ile kuru üzümden iki çekilmiş yirmi iki grado sert rakısını methetti .",kuru üzüm
"muhasebeci , yerden temennalar , gevrek kahkahalar arasında bir vesile ile kuru üzümden iki çekilmiş yirmi iki grado sert rakısını methetti .",yerden temenna
"ortalığı saran barut rengi aydınlık açıldı , açıldı , kül rengine döndü .",kül rengi
beş yaşımdan başlayarak buradan eve güğümlerle ben de su taşıdım .,su taşı
"ay ışığının , yüksek servileri ince ince gümüşlediği bir şato korusundaymışlar .",ay ışığı
"kız kardeşi üç yıl , bir gün olsun canı sıkılmadan yaşadı tatvan'da .",kız kardeş
"mısırlar , gündödüler bozulmuş , içi tezekle sıvalı harmanlara getirilmişti .",içi tez
"bir iki kere günübirliğine , bir iki kere de gece yatısına gidebilirlerdi .",gece yatısı
pala bıyıklı adamın sesi kapının önünde gürledi .,pala bıyık
"haddizatında bir kırpıntı bohçasını andıran kabinesine , plancı , reformcu hükûmet adını takmıştı .",kırpıntı bohçası
"din adamına hafifliğin yaraşmayacağı , davranışlarında ciddiyetten uzaklaşmaması gereği hatırlatılır .",din adamı
çocuk oyuncağını hakladı .,çocuk oyuncağı
günlük program başlamadan önce kendinizi sevimli bir halk okulunda buluyorsunuz .,halk okulu
"gebre , kıldan , hamam kesesine benzer yapılmıştır .",hamam kesesi
"turhan da bizim gibidir , ham ervahlardan pek hoşlanmaz .",ham ervah
tarlasına harım çevirmek için dün matarlı tepelerinde kestiği pırnal fidanı dalları harman yerinde koca bir yığın hâlinde durmakta idi .,harman yeri
ne olduğu bilinmeyen hayırsız bir nişanlıyı beklermiş .,ne o
bu masa örtüsünün hediyesi otuz milyon liradır .,masa örtüsü
şu dünyada her birimiz alnımızın teriyle ekmeğimizi çıkarmak zorundayız .,her biri
hırsız adımlarla deniz kenarına geldi .,hırsız adım
bir akşamüzeri her zamanki hızlı adımlarla geldi .,her zaman
"kaldı ki böyle bir hareket , milletlerarası hukuka taban tabana zıttı .",taban tabana zıt
"kadınlar çil yavrusu gibi dağılmış , hükûmete haber vermişler , hükûmet gelmiş , ölüyü kaldırmışlar .",haber ver
"çağırınız kuzum , rica ederim çağırınız hem biraz çabuk olunuz .",çabuk ol
her gün birkaç ev kadını orada çalı çırpıyla su ısıtıp çamaşırını yıkıyor .,çalı çırpı
"borç senetleri , hesap pusulaları ceketlerimizin iç ceplerini şişmanlatır .",iç cep
"dünya atom çağında , biz hâlâ medeniyet kavgası içindeyiz .",atom çağı
"onları gözünde büyüterek bilmem hangi gizli dinin esrarlı yasakları gibi gören , içlemlerini ve niteliklerini değiştiren benim .",gizli din
"mintanları , içlikler , fanilalar terden yapış yapıştı .",yapış yapış
i̇çten içe sevindiğini biliyordum ama bunu belli etmekten kaçındı .,belli etmek
"i̇kinci yarıda herkesin dili bir karış dışarı çıktığı , maraza aradığı , çamurlaştığı zaman , seninki , oyuna yeni girmiş gibi terütaze koşar durur .",bir karış
kısa bir ikircimden sonra öneriyi kabul ediyorum .,bir iki
"doğru yolda , seçtiğim bir yolda ilerlemem gerekir .",doğru yol
"doğru yolda , seçtiğim bir yolda ilerlemem gerekir .",bir yol
"yurt dışına başlayan büyük göç , beni hep heyecanlandırmış hep ilgi alanım içinde kalmıştır .",yurt dışı
"yurt dışına başlayan büyük göç , beni hep heyecanlandırmış hep ilgi alanım içinde kalmıştır .",ilgi alanı
evrenin zengin repertuvarı onun tükenmez ilham kaynağıdır .,ilham kaynağı
"aynı anda sahnenin her yerinde birden bitiyor , bir şarkıcıdan çok bir göz bağcıya benziyordu .",göz bağcı
"bu zaman zarfında bedri'yi yetiştiremezsem imamet elden gider , biz , açlıktan ölürüz .",zaman zarfı
"bir eleştirmenin birkaç tümceyi , bir iki imlemeyi saymazsak kırk yılda yazılmış bir yazısı var .",bir el
"bir eleştirmenin birkaç tümceyi , bir iki imlemeyi saymazsak kırk yılda yazılmış bir yazısı var .",kırk yıl
"memidik başını kaldırınca çelikten ışık ağı bir anda silindi , onun yerini göz kamaştıran , ipileyen bir sarı sıcak aldı .",bir an
"balıkpazarı'nda bugün elleri ip torbalı , orta tabakadan bayanlar ve baylar .",ip torba
"o vakitler , bu kadarcık ümit ve teşvik , bizi heyecanlandırmaya yeterdi .",bu kadar
meğer tel örgülerin gerisindeki istihkâmlara gelmişim .,tel örgü
dışarıda kolları kırmızı beyaz işaretli askerlerin taşıdığı boş sedyeler süratle uzaklaşıyor .,beyaz iş
ancak kız bunu o kadar diline dolamıştı ki büyük hanımın pirelenmesine imkân olamazdı .,büyük hanım
"şimdi otomobillerin , otobüslerin işledikleri asfalt caddeden bir zamanlar ne kervan ne insan geçerdi .",bir zaman
"o , işporta malı cam boncuklar içinde lekesiz bir elmastı .",bir el
burada işsizlikten patlayan esnaf hele birkaç memur bir eğlence çıktığına seviniyorlardı .,hele bir
bir aralık iyi fal bildiğimi haremde duyurdum .,bir ara
i̇stediğini güzellikle elde edemeyince kaba kuvvete başvurdu,kaba kuvvet
herhâlde kabuklu bir deniz hayvanının kabuğu kesmiş olacak .,bir de
"bugün benim kabul günümdür , birkaç saat sonra davetliler gelecekler .",kabul günü
bununla beraber çok üzüntü içinde olduğunu da kaçamakla bana bakan gözlerinden anlıyordum .,bana bak
"bir delilik , bir çılgınlık , bir hoppalıktır gidiyor .",bir de
palamut meşesinin kadehçiklerinde çok miktarda tanen vardır .,palamut meşesi
mürekkep balığı ve ahtapot kafadan bacaklılardandır .,kafadan bacaklılar
"hastaneye gider gitmez gene kan aldırdılar , kâfuru şırınga ettiler ; daha bilmem neler yaptılar , hasta açılmadı .",bilmem ne
sabah kahvaltısından sonra otelimden çıktım .,sabah kahvaltısı
"efendim , on iki senedir kullandığım bir kahve değirmenim vardır .",kahve değirmeni
"etiler'in renkli gece hayatında , onlarca kamera önünde sevgilisini dövdü , itip kaktı",gece hayatı
meclis . olağanüstü hâli kaldırabilir .,olağanüstü hâl
"bu kumral saçlı , şişman bir kalem beyiydi .",kalem beyi
"aileyi geçindiren babaya bu kalın sesli , kalın kaşlı , yumuşak bakışlı adama saygı ile , biraz da korku ile bağlanmışızdır .",kalın ses
bu kadarla kalsa iyi .,bu kadar
"o üç kişinin yanı başındaki masaya kalpaklı , poturlu bir adam geldi .",yanı başında
yetki kanununa karşı gençlerin giriştiği kampanya sade berlin'e inhisar etmiyor .,yetki kanunu
kamu düzeniyle ilgili bu konuların yanında toplum ve aile sorunları da ele alınıyordu .,kamu düzeni
her gün omuz silkmekle geçen aşinalar şimdi kandilli temennalarla yerlere kadar eğilerek .,omuz silkmek
her gün omuz silkmekle geçen aşinalar şimdi kandilli temennalarla yerlere kadar eğilerek .,kandilli temenna
"aynı anda nice analar kan ağlıyor , nice kanı ayaklılar dul , nice saçı bitmedikler yetim kalıyordu .",kanı ayaklı
"aynı anda nice analar kan ağlıyor , nice kanı ayaklılar dul , nice saçı bitmedikler yetim kalıyordu .",saçı bitmedik
bir kanlı katile yataklık yapmış gibi pişmanlık duyuyordu .,kanlı katil
"evin en alt katına indik , oradan da bir mahzen kapağı açtılar .",alt kat
kapıcının karısının ispirto ocağında kızarttığı patlıcanları yiyorduk .,ispirto ocağı
bu iki şiiri övenler onların kalıbından gelen ucuz bir güzelliğe kapılırlar .,bir güzel
"ancak , bizler kaptan köprüsüne çıkamayız , bırakmazlar .",kaptan köprüsü
"karadutum , çatalkaram , çingene'm / nar tanem , nur tanem bir tanem",bir tane
"acının , yanlışın hatta çirkinin kara mizahı tam anlamıyla yapılmadı daha .",kara mizah
mahkeme kararını aldı .,mahkeme kararı
"karartma saati yaklaşıyordu , bir an önce evlerine varmalıydılar .",bir an
bursa ile darmstadt kardeş şehirdirler .,kardeş şehir
kaldırımın önünde esas vaziyete geçip kasketini çıkardı .,esas vaziyet
akrabalarıyla kâşaneler kurarak nasıl yerleştikleri hiç kimsenin gözünden kaçmıyordu .,hiç kimse
bir tanesi çenesine yün bir kaşkol bağlamış .,bir tane
"yemekten sonra evin üst katında , ocaklı bir odaya çıktık .",üst kat
". tartışmalar , sohbetler , görüş alışverişleri bir şeyler unutulmuştur , kaybolmuştur ; hiç değilse sislenmiştir , katkılanmıştır .",hiç de
". tartışmalar , sohbetler , görüş alışverişleri bir şeyler unutulmuştur , kaybolmuştur ; hiç değilse sislenmiştir , katkılanmıştır .",hiç değil
"lalalık , kavaslık derecelerinden kalfalık payesine yükseldiği bir sırada i̇smail'in oğlu yanından uzaklaştırıldı , gitti .",bir sıra
i̇yi adam olmakla beraber aksi ve kavgacıdır .,adam olmak
"bu ziyafetlere gidilirken her günkü kavukla ferace ve samur kürk giyilir , atlara kemer rahtlar vurulurdu .",her gün
"çiçekli kumaştan , büzgülü , yakası kayık bir elbise dikti .",bir el
hiçbir kayıt ileri sürmeksizin .,ileri sürmek
denizden çıkarılınca ısınsın diye vapurun kazan dairesine götürmüşler .,kazan dairesi
"baba . belindeki şal kuşağı çözer , gelinin beline bağlar , iki genci el ele verir , bu merasimin adı kuşak bağlamadır .",kuşak bağlama
"elindeki kese kâğıdını karısına uzatarak biraz meyve aldım , dedi .",kese kâğıdı
"gemi , su kesiminin üstünden yaralandı .",su kesimi
"1,5 veya 1,3 kesirli sayılardır .",kesirli sayı
hiç değil beni kesmeden edemez o .,hiç de
"keten helvacı , keten helvam nakaratlı bir türkü ile methederek satardı .",keten helva
bana ne oluyor bugün ?,ne o
kapıdan içeri ilk adımını atınca birdenbire cesareti kırıldı .,ilk adım
bir kır kahvesinde oturup geç saatlere kadar konuşmuşlar .,kır kahvesi
"bu kırk hamamından iki gün sonraydı , bir gece ateşler içinde uyandı .",kırk hamamı
"etrafı kırlık , mezarlık , uzun bir yoldan gidiyorduk .",bir yol
"her hafta bu dergileri alabilmek için küçücük gündeliğimden bir parçasını , öğle yemeklerinden kırparak biriktiririm .",bir parça
kısa vadeli hiçbir ödünç alma imkânı yoktu .,imkânı yok
"mühür gözlüm seni elden / sakınırım , kıskanırım",mühür gözlü
hiç kuşkum yok ki sen şimdi kalbimde / bir kış uykusuna yatan böceksin,kış uykusu
"baba evinde , lisemde kıvılcımlanmış sonra da hâlâ sönmemiş kitap okuma aşkım .",baba evi
pek az kimseye göstermiş olduğu bir hoşgörüden yararlandım .,bir hoş
"kızgın bir demire dökülen damla iz bırakmaz , buhar olur .",bir de
"bazen üst üste konulmuş bu kilitli sandıklar arasından bir tanesini , zamanı gelince sahibi gelir , açardı .",bir tane
nihayet ışıklı bir caddeye çıkınca ilk rastladığım kira arabasına bindim .,kira arabası
oturduğunuz evin alt katını bir terzi kiralamıştı .,alt kat
kirkit bıçak sesleri hep bir anda kesildi .,bir an
ablasının kirli çamaşırlarını herkesten iyi bilir ama ablası da onun kumar borçlarını öder .,kirli çamaşır
fırsat buldular mı hemen kocakarı ilaçlarına başvururlar .,fırsat bu
"parlak kâğıtlara sarılı kokulu sabunlar getireceğine , kapağı dönerli aynalı kremler alacağına söz verdi .",kokulu sabun
"kolalı sert yaka , boğazda şişen gazel damarını sıkıyor .",gazel damarı
benim bilek saatim durmuş .,bilek saati
koltuk değneğine dayana dayana bacağını sürüyor .,koltuk değneği
"orada kızına bir çiftlik almış , işten el çekmişti .",bir çift
kompleksli olan insan bu aşağılık duygusunu örtmek için inadına yüksekten atar .,aşağılık duygusu
komşu bahçeler arasında da pek kullanılmayan yan kapılar vardı .,yan yan
üst kattakilerle konuşuyoruz .,üst kat
"o adamlar kimse haber vermeli , dikkat etsinler , kendilerini sakın ele vermesinler .",haber ver
geleceği günler ev halkınca bir sevinç arifesi yaşanırdı .,ev halkı
hanımlar köşe minderinin sağ duvarındaki birkaç kopya resme daldılar .,köşe minderi
"ali'mi korunaksız bırakma dağ başında ; duy beni adı güzel , kendi güzel tanrı'm !",dağ başı
kovboy bozuntusu yahut gangster torunu birkaç sivri akıllıdır onlar .,sivri akıllı
"annesinin yalnız onunla değil , hiç kimseyle bir köprüsü yoktu .",hiç kimse
yemiş toplamak için ağaca çıkardıkları zaman en iyilerini kendi kör boğazına tıkınıyor .,kör boğaz
çekildi kör hatta gecede boş trenler .,kör hat
"i̇sveçli doktorun suyu kötülemekteki asıl amacı , viyana'da bir bira fabrikası açmak iznini elde etmekmiş .",bir bir
"i̇sveçli doktorun suyu kötülemekteki asıl amacı , viyana'da bir bira fabrikası açmak iznini elde etmekmiş .",elde etmek
benim gibi nice kızlar beyaz kadın ticaretinin kurbanı olmuşlardır .,kadın ticareti
çocukça bir sevinçle kurduğun çalar saatleri çalıp duruyor .,çalar saat
"kurmay başkanının ailesi , dün kolorduya gideceklerini söyledi .",kurmay başkanı
"büyük babamı , aşağı kattaki yemek odasına bitişik , kurnalı hamamın kerevetine uzattılar .",büyük baba
"büyük babamı , aşağı kattaki yemek odasına bitişik , kurnalı hamamın kerevetine uzattılar .",yemek odası
i̇çinde kuru köfteler bulunan bir tası oğluna uzattı .,kuru köfte
"nihat bey sürekli yükselmek isteğiyle yanıp tutuşan , alaturka bir küçük burjuvadır .",küçük burjuva
"onlar kendi küfleri , kendi yırtık pırtıkları , kendi döküntüleriyle yaşayabiliyorlar .",yırtık pırtık
ordu kükremiş aslan gibiydi .,aslan gibi
yakın dostlardan birisinin beş beygirlik külüstür bir deniz motoru var .,yakın dost
bahar yağmuru ancak mor salkımlarla leylakların açtığı bir memlekette çekilebilir .,mor salkım
bundan böyle nüfus kâğıdının yerini şu liman cüzdanı alacak .,nüfus kâğıdı
"biçare adam on günde limon sarısına dönmüş , incelmiş , bitmiş .",limon sarısı
"o yandaki duvarın dış yüzünde , demir kepenkleri bulunan birkaç mağaza da vardı .",dış yüz
"makasçı , ayaküstü bana gayet basit kelimelerle bir dram anlattı .",basit kelime
meltemin esmeye başladığı güneyden yavaş yavaş rüzgârsız ölü dalgalar sallana sallana gelmeye koyuldu .,ölü dalga
"fasulye pilakileri , piyazlar , köfteler , salçalı makarnalar , menemenler , patlıcan kızartmaları , neler de neler pişmedi .",salçalı makarna
"apış arasına fazla tülbent ve mermerşahi tıkarak bebeği çarpık ve ayrık bacaklı , tenasüpsüz olmaktan korur .",apış arası
"i̇kinci mevki sıralar oldukça dolmuş , localardansa ancak bir ikisi tutulmuş .",bir iki
bu genç bir deveydi .,bir de
bir namazlık saltanatın olacak / taht misali o musalla taşında,musalla taşı
"ev miskinler tekkesine dönüşmüştü , ortalığı pislik götürüyordu .",miskinler tekkesi
tezini mitolojiden hazırlayan gözlüklü bir delikanlı .,bir de
yumurtacının dinlenmek için mola taşına koyduğu küfesini devirmek için arkadaşlarına yardım ediyordu .,mola taşı
"dile kolaydı ; o yandan bu yana hayatı monotonlaşmış , yirmi yılı inanılmaz bir sakinlik içinde geçirmişti .",dile kolay
"en bilinen mum , arıların yaptığı bal mumudur .",bal mumu
bir namazlık saltanatın olacak / taht misali o musalla taşında,musalla taşı
ameliyat masasının beyaz muşambası üzerine yatırdılar .,ameliyat masası
o ne kadar mübalağasız ve alçak gönüllüdür .,alçak gönüllü
yüze gülücülüğün at oynattığı bir aydınlar ortamında küsebilmek bile insanı ödüncülerden ayıran bir nitelik oluyor .,yüze gülücü
bu sorunun cevabı için bir ansiklopediye başvurmanızı tavsiye ederim,bir an
bazı borçlar süre aşımına uğrayabilir .,süre aşımı
"köy öğretmeni , köy çocuğunun zekâsını geliştirmeye ehemmiyet vermekle bu eşitsizliği telafi edebilir .",ehemmiyet vermek
kadınlara karşı sevecen ve yumuşak başlısınız .,yumuşak başlı
süreğen bir anlaşmazlık .,bir an
"keten helvacı , keten helvam nakaratlı bir türkü ile methederek satardı .",keten helva
"yahya kemal'e bayılıyor , boş zamanlarında onun rubailerine nazireler yazmaya çalışıyordu .",boş zaman
"artık yürüyelim , bir an önce çıkalım bu netameli yerden .",bir an
"erdal , nişan halkasına benzediğini fakat taşlarının iri olduğunu söyledi .",nişan halkası
"bir aralık nöbeti artmış olacak , kebenin altından arabacıya seslendi .",bir ara
bu yazma eserin üç nüshası daha var .,yazma eser
"bir hademe , kocaman odun sobasının önüne çömelmiş , bekliyordu .",odun sobası
i̇lk zamanlar bilseniz ne okazyon şeyler düşüyordu .,ne o
"onun o gözü pekliği , onurla ölümü göze alışıdır ki atatürk'e olmazları oldurtmak gücünü vermiştir .",gözü pek
"haziran gecesinin sıcağı bir yandan , ateş bir yandan , yüzlerinde oluk oluk ter akıyordu .",bir yanda
"ara sıra yükselen çatlak sesler , sorulan aykırı sorular bu dayanışmayı bozacaktır .",çatlak ses
adam olanı bir defa omuzlamak yeter .,bir de
"dileklerine eremeyenler gelir , aynı yerde hiddetle haykırır , yumruklarıyla kapıları , perdeleri döverlermiş . cümlesinde dileklerine eremeyenler ortak öznedir .",ortak özne
hacı reşit'in dükkânında post kuran orta yolcular arasında muallim naci başı çeker .,orta yol
hacı reşit'in dükkânında post kuran orta yolcular arasında muallim naci başı çeker .,orta yolcu
benim bildiğim osmanlı kadınları dobra dobradır .,dobra dobra
başına kenarları yeşil oyalı mor bir gaz boyaması krep bağlıyordu .,yeşil oy
kısa ve uzun vadeli hiçbir ödünç alma imkânı yoktu .,imkânı yok
"o savaşı başarıya ulaştıran en kuvvetli öge , ne yabancıdan gördüğümüz yardım ne de bugünkü özel girişimcilerin gayretleridir .",özel girişim
"o savaşı başarıya ulaştıran en kuvvetli öge , ne yabancıdan gördüğümüz yardım ne de bugünkü özel girişimcilerin gayretleridir .",özel girişimci
gelemezdim annemi ölüm döşeğinde nasıl bırakırdım ?,ölüm döşeği
"sormayın , can korkusuyla insan ne yaptığını bilemez .",can korkusu
"ölümsüzlerden fışkıran ışık , karanlıkları bir anda dağıttı .",bir an
bir aralık önümüzden şarkı sesleri geldi .,bir ara
"ne de olsa bir şeyi küçümsemenin anlamı olmasının ön koşulu , küçümsenen şeyin anlamlı olmasıdır .",ön koşul
i̇şte yalının penceresinde yengemin örtüsüz başı renkli bir demet .,bir de
mide öz suyu .,öz su
"gülümseyemeyişi şair duyarlığına , sanatçının hüzünden yana öz yapısına bağlar .",öz yapı
cebimden sigara paketimi çıkarıp içinden bir tanesini dudaklarıma yerleştiriyorum .,bir tane
"her şeyden önce , pala bıyıkları ile meşhur kırk , kırk iki yaşlarında popüler bir yazar .",pala bıyık
"elbette öyle ama sen böyle panik hâlinde kapı kapı dolaşırsan , teşkilatta muhalefet var sanıp gerçekten de bir temizliğe başlayabilirler .",bir temiz
gençler ellerindeki pankartları bir anda açarak uygun adım sahneye dalıverdiler .,bir an
tuvalet masası paravana ile yatak odasından ayrılmıştı .,yatak odası
"kamyonlar , pikaplar arka arkaya park etmiş duruyorlardı yan sokaklarda .",arka arka
"musa , gene her günkü çapaçul kılığına bürünmüş .",her gün
"açık pencereden , pastırma yazının mavi ışıkları girmekte .",pastırma yazı
"yeni gelen başhekim , orta boylu , cılız , patlakça gök gözlü bir adam .",orta boy
"çocuk , hızlı , paytak adımlarla parkın kapısına doğruldu .",paytak adım
"bir gün gelecek , işlerin aslını , perde arkasını bilecekler .",perde arkası
birkaç arkadaşımın içeride olduğunu haber veriyor ve alacağım zevk için beni peşinen tebrik eden bir tebessümle gülüyordu .,haber ver
şu pılı pırtıları kaldırmalı .,pılı pırtı
dörtyol ağzında !,dörtyol ağzı
"camları kapanmış bir arabanın yumuşak kadife minderleri , o çıplaklığa karşı , zavallı adamı avunduruyordu .",bir ara
"camları kapanmış bir arabanın yumuşak kadife minderleri , o çıplaklığa karşı , zavallı adamı avunduruyordu .",bir araba
"servis tabağını pilavla doldurdu , tepesine de kale burcu gibi etleri dikti .",servis tabağı
"köşede bir piyano , piyanonun üstünde yapma çiçekler .",yapma çiçek
"kahvenin önünden dört beş kere daha geçer , akşam piyasasını yapardım .",akşam piyasası
bunlardan bir kısmı bugün piyasada alaturka çalgıcılığın en ileri gelenlerindendir .,ileri gelenler
bir alt kata iki merdivenle iniliyordu ve arada ufak bir platform vardı .,alt kat
"bahçemizin cadde tarafındaki parçasında , alçak bir parmaklığın koruduğu küçük bir portakallık vardı .",bir parmak
"o , pos bıyıklı , bahçıvan kılıklı birinin başını tıraş ediyordu .",pos bıyık
eşyalarımı ilk posta ile bir denk yapıp i̇stanbul'a gönderdim .,bir de
mektubu senden gizli posta kutusuna attım .,posta kutusu
bu kara saplanmış posta trenindeki köşemi de bir lüks gibi görmek lazımdır .,posta treni
i̇çim muradına ermiş / abasız postsuz bir derviş,bir de
"ceketinin arkasındaki potlar , bugün mutlaka her zamandan çok ensesine binmişti .",her zaman
akşam televizyonda tek bir güzel program yoktu,bir güzel
gece yarısına kadar isli bir petrol lambasının ışığında gazetenin provalarını tashih ederdi .,gece yarısı
gece yarısına kadar isli bir petrol lambasının ışığında gazetenin provalarını tashih ederdi .,petrol lambası
avluda uzun uzun pul şişelere doldurulmuş rengârenk boyalı sular satarlardı .,pul şişe
öyle bir denizci ki rüzgârı pupasından aldı mı deniz atı gibi gidiyor düşmanın üzerine .,bir de
birbirine teğet geçmiş iki acılı yaşamın öyküsü radyofonik seslere dönüşür .,radyofonik ses
"bu ziyafetlere gidilirken her günkü kavukla ferace ve samur kürk giyilir , atlara kemer rahtlar vurulurdu .",her gün
"ramazan yaklaşırken , yakın dostları konağına ramazaniyelik gönderirlerdi .",yakın dost
yenilik ve gençlik hareketine rehberlik etmektedir .,rehberlik etmek
"öğle namazının kaç rekât olduğunu unutmuş , aklında hiç namaz suresi kalmamıştı .",öğle namazı
atılacak bu ilk adımdan sonra repertuvar meselesi kalır .,ilk adım
evrenin zengin repertuvarı onun tükenmez ilham kaynağıdır .,ilham kaynağı
o mecmuadaki gazelleri yüksek sesle okurken eski şiir lehçemizdeki beliğ ve rindane edaların zevkine varıyorum .,yüksek ses
öğleden sonra posta ve telgraf nezaretinin üst katındaki salonda içtimaya bizzat riyaset edecekti .,üst kat
"sarhoş serseri , bir eliyle boyuna rotayı ayarlamaya çalışıyordu .",bir el
"devlet , herkesin hayatını beden ve ruh sağlığı içinde sürdürmesini sağlamak amacıyla sağlık kuruluşlarını tek elden planlayıp hizmet vermesini düzenler .",sağlık kurulu
"hiç bu yaşa kadar mahkeme kapısına varmadık , adam yok , çocuklar askerde , güveyi kayıp ; işler , karı , çoluk çocuk elinde , köyde dört mavzerle ruzikleniriz .",mahkeme kapısı
saadet zincirinin bizden sonraki halkası yürümez takılırsa biz de olumsuz bir şekilde etkileniyoruz .,saadet zinciri
"ruhsar hanım , biri sabunlu , öbürü sadece ıslak iki el beziyle dönmüştü .",el bezi
üzerine soğuk su dökülen sarhoş adam kendine geldiğinde sade kahve ona zorla içirildi .,kendine gel
"bu gibi durumlarda , bütün iyi niyetine rağmen başka türlü harekete imkân bulamıyordum .",iyi niyet
"göksel bir kere sahiden uyudu mu , uykusu ağırdır ve uzun sürer .",uykusu ağır
kabul etmekte bir sakınca yoktur .,kabul etmek
vücudu o kadar narindi ki hafif rüzgârlarla sallanan salkım söğütler gibi oradan oraya salınıyor .,salkım söğüt
"arkasında sadakor bir elbise , elinde ona benzer ipekten saman rengi bir şemsiye vardı .",bir el
"öyle solgun , öyle zayıftı ki bir yolcudan ziyade bir hastaya benziyordu .",bir yol
zeynep'in beyaz yüzünde tıpkı ay ışığındaki büyülü şeffaflık ve nur vardı .,ay ışığı
sedef kakmalı çekmece .,sedef kakma
elçilik denen bu konakta bir nevi iç güveyisi hayatı sürüyorum .,iç güveyi
elçilik denen bu konakta bir nevi iç güveyisi hayatı sürüyorum .,iç güvey
"kız , sinekli bakkal'ın erkek dünyasına meydan okuyan bir bayrak gibiydi .",bayrak gibi
kuşluk vaktinin sıcağına rağmen bina loş ve serin .,kuşluk vakti
onun için bir an önce leşlerini köpek leşi gibi i̇stanbul'un çamurlu kaldırımlarına sermek zamanı gelmişti .,bir an
"yol halıları ayakkabılarımın sesini duyurmayacağına emin , servis merdivenine yürüdüm .",servis merdiveni
gençliğin sesini duyuran başka bir dergide .,bir de
"mühür gözlüm seni elden / sakınırım , kıskanırım",mühür gözlü
tam karşısına düşen bir seyahat acentesinin reklam ışıkları gecenin ayazını renk renk dağıtıyordu .,seyahat acentesi
geleneksel türk seyirlik oyunlarının içinde en önemlilerinden biri meddahtır .,seyirlik oyun
sonra kızarmış patatesli sığır etini kesmeye koyuldu .,sığır eti
ama lunaparkların işlemeli dönme dolaplarına bakmaktan hiç sıkılmadı .,dönme dolap
"kadın , çiğ köfteden bir sıkımını kocasına uzattı .",çiğ köfte
çocukları sıram sıramdı .,sıram sıram
sırat köprüsünü nasıl rahat geçeceğini tahayyül ederdi .,sırat köprüsü
son gülün karşısında son bülbül ah ederken / sırma saçlım bu sabah bahçeme geldi erken,sırma saç
"i̇şin tuhafı , tek perdesi kalkmış fayton penceresinde görünen silindir şapkalı adam da altın dişlerini göstere göstere kahkahalar atıyor .",silindir şapka
"kadın birden silkinerek gözlerini açıyor , hemen baş ucunda seyfi'yi görünce şaşırıyor .",baş ucu
"saçak bulutlar , iyi havada yağmur veya kar yağacağını haber verir .",haber ver
"saçak bulutlar , iyi havada yağmur veya kar yağacağını haber verir .",saçak bulut
nizamlı bir hareketler sisteminin ne olduğunu anlamak için bir baleyi seyretmelisiniz .,ne o
millî mücadelenin başından o güne kadar atatürk'ün en hafif bir sitemine uğramamıştım .,millî mücadele
gösterip sivri uzun dişlerini bir daha / bir zehirli ok gibi attı bana kahkaha,uzun diş
"balıklar , sürüngenler soğukkanlı hayvanlardandır .",soğukkanlı hayvanlar
"yoo sütnine , bak böyle soğuk şakalar istemem .",soğuk şaka
sokak kapısının usulcacık açıldığını duydum .,sokak kapısı
"asım , fikrini birçok sözlerle sağlamlamaya uğraşırken , araya olmaz mı dersiniz , ne dersiniz ? gibi sualler sokuyor , cevap istiyordu .",ne dersin
olimpiyatlarda ne zamandır solda sıfırdık .,solda sıfır
gamlı günümün son vazifesini de tamamladıktan sonra odama girmek üzereydim .,son vazife
"i̇nsan son nefesinde bile olsa ümidini kesmiyor , hayata daha canla başla sarılıyor .",son nefes
"beş sene bütün çılgınlıklarıyla , sonradan görmüşlüğün en kaba , zevksiz , tuhaf sahneleriyle bu hayat böyle sürdü .",sonradan görmüş
kızı ite kaka sorgu yargıcının önüne çıkardılar .,sorgu yargıcı
"boy boyladı , soy soyladı .",boy boy
karşımdaki duvara takılmış iki ampulden biri sönüktü ve bir gözü kırpılmış bir insan gibi bana bakıyordu .,bana bak
cebinden çıkardığı yassı uçlu bir demiri söve ile çerçevenin arasına sokarak camı da yukarı sürdü ve rezeledi .,bir de
yer yer birçok türküde rastladığımız beylik sözler de vardı içinde .,beylik söz
bu fırsattan istifade ederek söz sırasını elime geçirmek istedim .,söz sırası
hiç değilse spor bir ceket ister şöyle .,hiç de
hiç değilse spor bir ceket ister şöyle .,hiç değil
"o , büyük aktörlüğün gölgesine yatmış , günlerini stüdyolara telefon etmekle geçiriyor .",telefon etmek
"burada , su değirmeninin yanında yapayalnızım .",su değirmeni
radyo ince sazdan sultaniyegâh faslına başlamış .,ince saz
bekârlık sultanlıktır .,bekârlık sultanlık
"tatlıya öyle düşkünmüş ki geceleri usulcacık kalkar , tel dolaptaki muhallebiyi , revaniyi , kadayıfı ne bulursa hepsini süpürürmüş .",tel dolap
"tek sorun , salonun dört bir yanını dolduran birbirinden nazlı ve alımlı süs bitkilerinin fazla güneş istemeleriydi .",dört bir yan
"süzgün gözleri bugünkü gibi alaycı , çenesi daha sivriydi .",süzgün göz
"bir tanesinin elindemuhakkak çalmış olacak bir şık şemsiye , o günün sosyete hanımlarını taklit ederek kırıtıyor , süzülüyorlardı .",bir tane
"sırtına , kaba etlerine yumruklar , şakırtılı silleler atmaya başladı .",kaba et
